year,semi_final,semi_draw_position,country,style,semi_place,semi_televote_points,semi_jury_points,semi_total_points
2010,2,5,Switzerland,Pop,17.0,,,2.0
2010,2,6,Sweden,Pop,11.0,,,62.0
2010,2,7,Azerbaijan,Ballad,2.0,,,113.0
2010,2,8,Ukraine,Ballad,7.0,,,77.0
2010,2,9,Netherlands,Pop,14.0,,,29.0
2010,2,10,Romania,Pop,4.0,,,104.0
2010,2,11,Slovenia,Rock,16.0,,,6.0
2010,2,12,Ireland,Ballad,9.0,,,67.0
2010,2,13,Bulgaria,Pop,15.0,,,19.0
2010,2,14,Cyprus,Pop,10.0,,,67.0
2010,2,15,Croatia,Ballad,13.0,,,33.0
2010,2,16,Georgia,Ballad,3.0,,,106.0
2010,2,17,Turkey,Rock,1.0,,,118.0
2009,1,2,Czech Republic,Traditional,18.0,,,0.0
2009,1,3,Belgium,Pop,17.0,,,1.0
2009,1,4,Belarus,Rock,13.0,,,25.0
2009,1,5,Sweden,Traditional,4.0,,,105.0
2009,1,6,Armenia,Traditional,5.0,,,99.0
2009,1,7,Andorra,Pop,15.0,,,8.0
2009,1,8,Switzerland,Rock,14.0,,,15.0
2009,1,9,Turkey,Dance,2.0,,,172.0
2009,1,10,Israel,Pop,7.0,,,75.0
2009,1,11,Bulgaria,Dance,16.0,,,7.0
2009,1,12,Iceland,Ballad,1.0,,,174.0
2009,1,13,North Macedonia,Rock,10.0,,,45.0
2009,1,14,Romania,Dance,9.0,,,67.0
2009,1,15,Finland,Pop,12.0,,,42.0
2009,1,16,Portugal,Traditional,8.0,,,70.0
2009,1,17,Malta,Ballad,6.0,,,86.0
2009,1,18,Bosnia and Herzegovina,Ballad,3.0,,,125.0
2009,2,1,Croatia,Ballad,13.0,,,33.0
